Clust_id,p_id,Age,Baseline_date,Gender,Income,Education,value_1,value_2,value_3,outcome
A1,101108,50,12/3/2006,Male,49500,College,70.33352343,100.4719416,11.07336381,0
A1,100944,50,7/24/2010,Male,49500,College,66.01584426,107.1737512,11.02291056,0
A1,102421,54,6/5/2005,Male,82500,College,77.13456135,91.35113871,5.572683635,0
A1,107152,45,7/13/2010,Female,44000,,55.40809524,97.84178219,15.18728765,0
A1,108180,27,6/2/2010,Male,44000,Graduate Degree,62.07755533,83.99464934,11.24109239,0
A1,107342,186,8/9/2010,Male,55000,College,65.55094933,111.0197736,,0
A1,108232,54,4/9/2011,Male,27500,,74.05220356,101.0372772,8.032567485,1
A1,101126,36,3/8/2007,Female,71500,College,69.44593198,97.95854607,16.87163049,0
A1,103262,47,5/2/2009,Male,55000,Graduate Degree,62.87294722,107.947926,14.32868659,0
A1,108125,41,6/19/2005,Female,71500,High School,36.79072475,91.47644801,7.324619722,0
A1,107465,58,2/16/2005,Male,38500,High School,61.45798374,106.9035856,12.07868481,0
A1,103807,38,1/21/2012,Female,49500,High School,59.72087588,110.3526557,9.252069212,0
A1,104569,41,9/16/2009,Female,55000,Graduate Degree,30.51030136,89.18074946,9.394419421,0
A1,106477,48,10/25/2012,Male,60500,High School,50.50686671,107.8285503,11.39551751,0
A1,108462,46,10/2/2009,Male,71500,College,81.61787261,93.18913502,7.843610167,0
A1,100567,48,4/29/2012,Male,38500,high school,52.87989914,91.5107016,11.08822198,0
A1,103360,58,4/3/2010,Female,38500,High School,64.25142476,88.99743161,12.81059694,0
A1,102742,39,11/1/2006,Female,66000,Graduate Degree,40.25099233,106.8324082,8.86369897,0
A1,105863,38,3/16/2013,Male,49500,College,67.74725256,105.0214712,11.85102746,0
A1,103188,30,2/25/2010,Male,66000,High School,60.3050914,79.80625908,15.0153651,0
A1,104322,45,,Female,44000,Graduate Degree,46.83539792,102.8720647,10.10051572,0
A1,109768,48,4/12/2010,Female,77000,High School,45.80513453,95.55947255,7.940617245,0
A1,106641,50,12/25/2008,Male,27500,High School,55.9233175,105.0975115,9.158901396,0
A1,104520,47,6/23/2013,Female,38500,High School,70.97749119,97.75809002,11.41257563,1
A1,107273,39,1/4/2005,Female,38500,Graduate Degree,53.0429913,101.1506051,9.779181943,0
A1,103503,206,4/22/2008,Male,60500,College,61.2784738,115.1568445,8.878845426,0
A1,107541,36,6/1/2008,Male,82500,Graduate Degree,43.28438243,87.59046329,11.22776362,0
A1,102805,36,9/24/2010,Male,77000,High School,76.83696025,104.9980025,10.1002239,0
A1,105798,57,2/10/2006,Male,66000,High School,92.43015481,98.94801518,15.15519291,1
A1,101417,36,1/5/2014,Male,66000,High School,39.96367042,102.1393157,8.488599296,0
A1,103243,32,7/4/2009,Male,38500,High School,73.78275352,78.92528579,11.7476733,0
A1,109005,200,5/24/2005,Male,55000,High School,67.01926858,97.05313694,8.068046998,0
A1,105209,52,7/15/2008,Male,55000,High School,56.4479997,102.7645139,7.548131803,0
A1,103149,52,5/27/2008,Male,99000,High School,73.21370681,96.99618516,9.650157634,0
A1,104506,40,7/22/2012,Male,44000,High School,62.18173134,111.3946867,,0
A1,101629,49,6/29/2012,Male,60500,College,65.12164399,112.1894589,9.472628959,0
A1,107325,36,1/29/2010,Female,55000,High School,53.55671733,100.6826032,13.792071,0
A1,102385,46,5/27/2013,Male,71500,High School,55.23445782,103.5174936,15.22708618,0
A1,103324,43,2/26/2011,Female,38500,High School,61.1892688,106.4218107,12.2284139,0
A1,107106,51,1/9/2011,Male,88000,High School,56.14414718,114.5332106,12.91730923,0
A1,107005,45,8/27/2007,Male,49500,High School,72.73764173,95.54561928,11.09963158,0
A1,101077,48,7/15/2008,Male,49500,College,82.42151238,81.1138496,11.10871488,0
A1,105342,39,5/18/2013,Male,44000,College,67.96653787,102.2559837,10.47579218,0
A1,102403,50,5/24/2013,Female,49500,High School,76.03125147,95.80565694,9.684958919,0
A1,107357,204,3/14/2013,Male,93500,College,60.08942591,113.0373741,13.28653389,0
A1,109708,64,5/21/2009,Male,44000,High School,76.46025079,91.12130136,8.526208117,0
A1,100616,39,4/11/2008,Female,55000,College,70.04883738,107.8297652,8.994214522,0
A1,100008,39,1/19/2008,Male,49500,High School,74.84865863,86.77967954,12.40443142,0
A1,102141,42,11/24/2008,Male,66000,High School,67.54551374,115.9746511,6.579422285,0
A1,102111,208,1/11/2013,Female,71500,High School,63.58404754,100.3835394,9.193041992,1
A1,106327,46,4/13/2012,Male,66000,High School,73.4362523,89.38367423,9.593969587,0
A1,102942,32,4/16/2012,Male,55000,High School,72.04888563,97.63934948,11.80069292,0
A1,109432,45,8/9/2013,Male,55000,High School,47.76451933,94.19691426,15.44635972,0
A1,104627,36,12/10/2012,Male,49500,College,63.24951301,117.8079324,10.56116415,0
A1,107446,38,12/1/2008,Male,55000,College,67.2381001,104.9907917,10.41769965,0
A1,108017,32,6/19/2010,Male,66000,High School,65.55984474,94.80394592,15.11322443,0
A1,109869,44,11/4/2010,Male,71500,High School,68.33687068,101.2201057,4.489665302,0
A1,108543,46,8/14/2010,Female,77000,High School,59.7255364,111.9448298,12.16336589,0
A1,109559,57,12/23/2008,Male,93500,College,62.87992539,77.03937337,9.001607833,1
A1,104845,27,2/23/2014,Male,49500,High School,54.09460353,93.7596173,1.601582692,0
A1,103485,32,3/11/2012,Male,55000,High School,44.1439822,91.28759703,14.2182805,0
A1,106443,31,2/23/2010,Female,22000,High School,46.87343214,103.0055663,11.46247071,0
A1,105719,33,10/2/2013,Male,66000,College,77.18739931,102.4109075,7.220887529,0
A1,107570,64,2/8/2007,Female,60500,High School,67.30188658,109.0950675,6.684970601,0
A1,102462,20,7/12/2014,Male,71500,High School,91.38396293,80.49604469,8.887915416,1
A1,105367,43,3/8/2009,Male,60500,High School,56.88183441,101.2192905,5.135733709,0
A1,107323,52,7/18/2008,Male,60500,High School,62.53951706,101.5825014,12.71538626,0
A1,101064,46,9/19/2005,Male,44000,College,57.89965876,100.5253482,11.43698727,1
A1,102775,50,10/5/2013,Male,49500,College,76.70814588,98.09101588,7.602921943,0
A1,100891,58,9/21/2006,Male,38500,Graduate Degree,57.22209613,102.9127392,7.006588112,0
A1,107233,42,3/31/2007,Male,60500,high school,71.69572382,90.98337605,10.46615707,0
A1,103025,45,3/24/2012,Male,71500,High School,73.24758282,103.6528515,11.50804399,0
A1,102800,44,7/10/2012,Male,49500,College,66.23467927,94.72816643,6.620069725,0
